10~15	坂口憲二	稲森いずみ	DEEP	22
under5	永井大	日向千歩	阪井あゆみ	23
10~15	戸田恵梨香	加瀬亮	THE RICECOOKERS	22
5~10	志田未来	佐々木蔵之介	初音	23
5~10	濵田雅功	内田有紀	三代目 J Soul Brothers from EXILE TRIBE	21
10~15	佐藤健	前田敦子	高橋優	21
10~15	本木雅弘	阿部寛	None	19
10~15	小栗旬	井上真央	小田和正	21
5~10	石原さとみ	谷原章介	世界の終わり	23
5~10	松雪泰子	小出恵介	YUI	21
under5	斎藤工	比嘉愛未	None	22
10~15	戸田恵梨香	三浦春馬	ポルノグラフィティ	21
5~10	和久井映見	伊東四朗	なゆた	22
5~10	財前直見	南野陽子	None	22
under5	福田沙紀	松下優也	松下優也	24
10~15	松下奈緒	藤木直人	桑田佳祐	21
10~15	仲間由紀恵	檀れい	東方神起	22
10~15	香里奈	藤ヶ谷太輔	JAMOSA	22
10~15	船越英一郎	大塚寧々	平原綾香	20
10~15	田村正和	真矢みき	None	21
10~15	織田裕二	柴咲コウ	None	22
5~10	西野亮廣	忽那汐里	rhythmic	23
5~10	北川景子	木村多江	柴咲コウ	22
10~15	高橋克典	小泉孝太郎	S.R.S	21
5~10	相葉雅紀	貫地谷しほり	嵐	23
10~15	舘ひろし	釈由美子	ふくい舞	19
under5	松尾スズキ	常盤貴子	美輪明宏	21
10~15	多部未華子	沢村一樹	まきちゃんぐ	21
15~20	上野樹里	鈴木保奈美	None	20
10~15	草なぎ剛	今井美樹	山下達郎	21
5~10	徳重聡	余貴美子	Not yet	23
5~10	江口洋介	西島秀俊	サンボマスター	21
10~15	佐々木蔵之介	中村俊介	None	20
10~15	香取慎吾	黒木メイサ	SMAP	21
5~10	松坂慶子	国仲涼子	リベラ	22
5~10	黒木瞳	美波	高橋優	22
under5	市川由衣	イ・ホンギ	FTISLAND	24
10~15	杏	木村佳乃	アンジェラ・アキ	21
5~10	反町隆史	榮倉奈々	JUJU	22
10~15	上川隆也	貫地谷しほり	MISIA	21
10~15	相武紗季	速水もこみち	None	22
10~15	渡瀬恒彦	櫻井淳子	曽根由希江	20
5~10	吉瀬美智子	要潤	ケツメイシ	21
15~20	天海祐希	竹野内豊	Superfly	22
under5	城田優	福田沙紀	U	23
10~15	堀北真希	田中美佐子	関ジャニ	22
under5	矢田亜希子	三浦翔平	None	24
5~10	錦戸亮	水川あさみ	関ジャニ	23
under5	前田敦子	渡辺麻友	AKB48	24
10~15	松岡昌宏	吹石一恵	TOKIO	21
20~25	大沢たかお	綾瀬はるか	平井堅	21
5~10	武井咲	松坂桃李	ファンキーモンキーベイビーズ	23
15~20	阿部サダヲ	芦田愛菜	たまにムック。	21
5~10	里見浩太朗	東幹久	東幹久	20
10~15	新垣結衣	錦戸亮	Every Little Thing	21
under5	濱田岳	平愛梨	None	23
5~10	松下奈緒	竹下景子	None	22
5~10	伊藤英明	高島礼子	My Little Lover	22
under5	林遣都	桐谷美玲	ガリレオ・ガリレイ	24
10~15	上戸彩	北大路欣也	None	21
10~15	伊藤淳史	仲村トオル	Do As Infinity	22
15~20	渡瀬恒彦	井ノ原快彦	V6	21
10~15	江角マキコ	石原さとみ	シャリース	22
under5	青柳翔	大政絢	三代目 J Soul Brothers from EXILE TRIBE	24
10~15	名取裕子	益岡徹	高橋真梨子	20
10~15	佐藤浩市	三浦春馬	EXILE ATSUSHI	21
5~10	瑛太	満島ひかり	小田和正	22
under5	溝端淳平	忽那汐里	yu-yu	23
5~10	瀧本美織	玉森裕太	Kis-My-Ft2	22
under5	川口春奈	山本裕典	miwa	24
5~10	黒木メイサ	多部未華子	レディー・ガガ	23
under5	入江甚儀	刈谷友衣子	超新星	23
10~15	松田翔太	高橋克実	SPYAIR	21
10~15	観月ありさ	吉瀬美智子	観月ありさ	21
5~10	吹石一恵	夏木マリ	加藤ミリヤ	23
5~10	前田敦子	中村蒼	AKB48	21
15~20	香里奈	吉高由里子	安室奈美恵	21
5~10	真木よう子	木村多江	安藤裕子	22
under5	りょう	和久井映見	矢井田瞳	22
under5	小林薫	不破万作	LOVE LOVE LOVE	24
under5	五十嵐麻朝	平田裕一郎	None	25
15~20	櫻井翔	北川景子	嵐	21
10~15	米倉涼子	谷原章介	倉木麻衣	22
15~20	水谷豊	及川光博	None	21
20~25	松嶋菜々子	長谷川博己	斉藤和義	22
under5	斎藤工	金子ノブアキ	None	24
10~15	市原隼人	塚本高史	いきものがかり	21
10~15	沢村一樹	高嶋政伸	None	21
10~15	沢口靖子	若村麻由美	初音	20
5~10	榮倉奈々	菅野美穂	aiko	22
under5	栗山千明	杉本哲太	栗山千明	23
10~15	深田恭子	藤木直人	Perfume	22
under5	松坂桃李	大政絢	YUI	24
5~10	神木隆之介	光浦靖子	NICO Touches the Walls	23
15~20	亀梨和也	北村一輝	KAT-TUN	21
10~15	本木雅弘	阿部寛	None	18
15~20	木村拓哉	綾瀬はるか	中島みゆき	21
5~10	庄野崎謙	永井大	EXILE	23
5~10	西島秀俊	キム・テヒ	スピッツ	21
5~10	上川隆也	小西真奈美	トータス松本	20
15~20	松本潤	瑛太	嵐	21
5~10	池脇千鶴	高岡早紀	井手綾香	22
under5	優香	浅野ゆう子	BENI	22
under5	木南晴夏	西岡德馬	南波志帆	24
15~20	竹内結子	西島秀俊	GReeeeN	21
10~15	向井理	瀧本美織	THE BAWDIES	22
under5	剛力彩芽	瀬戸康史	None	23
10~15	永作博美	香里奈	BONNIE PINK	22
under5	道重さゆみ	田中れいな	None	24
10~15	山下智久	榮倉奈々	None	21
5~10	岡田将生	中谷美紀	キャサリン・ジェンキンス	21
10~15	小泉今日子	中井貴一	浜崎あゆみ	22
under5	板尾創路	田辺誠一	None	23
5~10	仲間由紀恵	佐々木蔵之介	None	22
under5	千葉雄大	本郷奏多	OKAMOTO'S	24
5~10	松岡昌宏	横山裕	TOKIO	23
under5	渡辺麻友	安藤玉恵	渡辺麻友	24
10~15	山田涼介	沢村一樹	None	21
under5	指原莉乃	池田成志	None	25
10~15	松山ケンイチ	中井貴一	None	18
10~15	本木雅弘	松たか子	None	21
5~10	佐藤隆太	桜庭ななみ	チャットモンチー	23
10~15	松下奈緒	井ノ原快彦	ファンキーモンキーベイビーズ	21
10~15	佐々木蔵之介	比嘉愛未	None	20
under5	川口春奈	速水もこみち	9nine	24
under5	森崎博之	安田顕	back:number	26
15~20	大野智	戸田恵梨香	嵐	21
5~10	木村佳乃	伊原剛志	MISIA	22
under5	満島ひかり	石田卓也	竹内まりや	22
under5	鈴木福	マリウス葉	Sexy Zone	24
10~15	草なぎ剛	水川あさみ	サカナクション	22
10~15	堺雅人	新垣結衣	PES from RIP SLYME	21
5~10	観月ありさ	田辺誠一	三浦大知	21
5~10	佐藤隆太	稲森いずみ	持田香織	22
under5	仲間由紀恵	谷原章介	安室奈美恵	18
5~10	錦戸亮	優香	関ジャニ	21
10~15	渡瀬恒彦	京野ことみ	None	20
5~10	武井咲	桐谷健太	平井堅	21
5~10	天海祐希	石田ゆり子	家入レオ	22
under5	谷村美月	山本耕史	高橋優	23
5~10	竹野内豊	和久井映見	JUJU	22
5~10	長澤まさみ	溝端淳平	木村カエラ	23
5~10	岡田将生	剛力彩芽	柴咲コウ	23
10~15	相葉雅紀	藤木直人	None	21
under5	森本慎太郎	松村北斗	None	24
15~20	中居正広	北村一輝	椎名林檎	21
under5	斎藤工	高知東生	HAN-KUN	24
under5	オダギリジョー	ユースケ・サンタマリア	斉藤和義	21
5~10	多部未華子	小池徹平	ゆず	20
under5	香椎由宇	窪田正孝	None	24
10~15	小栗旬	石原さとみ	None	21
5~10	仲里依紗	余貴美子	ポルノグラフィティ	22
5~10	草刈民代	瀬戸康史	None	22
under5	安田章大	蓮佛美沙子	KAT-TUN	24
10~15	AKIRA	瀧本美織	None	22
